event,action,duration,object,place,from,to,
event0_use_phone3_scene2,walk,8.763,Cellphone,Livingroom,None,None,
event1_use_phone3_scene2,grab,3.1049999999999995,Cellphone,Livingroom,None,None,
event2_use_phone3_scene2,walk,10.35,Kitchen,None,Livingroom,Kitchen,
event3_use_phone3_scene2,walk,8.763,Bedroom,None,Kitchen,Bedroom,
event4_use_phone3_scene2,walk,2.5529999999999995,Bed,Bedroom,None,None,
event5_use_phone3_scene2,sit,8.556000000000001,Bed,Bedroom,None,None,
event6_use_phone3_scene2,text,14.627999999999998,Cellphone,Bedroom,None,None,
event7_use_phone3_scene2,stand,5.382,None,None,None,None,
event8_use_phone3_scene2,walk,0.0,Kitchen,Kitchen,None,None,
event9_use_phone3_scene2,walk,0.0,Livingroom,Livingroom,None,None,
event10_use_phone3_scene2,walk,20.630999999999997,Sofa,None,Bedroom,Livingroom,
event11_use_phone3_scene2,sit,8.831999999999999,Sofa,Livingroom,None,None,
event12_use_phone3_scene2,text,14.351999999999999,Cellphone,Livingroom,None,None,
event0_drink_milk_while_watching_television3_scene2,walk,3.5879999999999996,Tv,Livingroom,None,None,
event1_drink_milk_while_watching_television3_scene2,switchOn,6.8999999999999995,Tv,Livingroom,None,None,
event2_drink_milk_while_watching_television3_scene2,walk,6.278999999999999,Remotecontrol,Livingroom,None,None,
event3_drink_milk_while_watching_television3_scene2,grab,3.1049999999999995,Remotecontrol,Livingroom,None,None,
event4_drink_milk_while_watching_television3_scene2,walk,12.005999999999998,Kitchen,None,Livingroom,Kitchen,
event5_drink_milk_while_watching_television3_scene2,walk,5.037,Milk,Kitchen,None,None,
event6_drink_milk_while_watching_television3_scene2,grab,3.1049999999999995,Milk,Kitchen,None,None,
event7_drink_milk_while_watching_television3_scene2,walk,8.418,Livingroom,None,Kitchen,Livingroom,
event8_drink_milk_while_watching_television3_scene2,walk,5.037,Sofa,Livingroom,None,None,
event9_drink_milk_while_watching_television3_scene2,sit,5.864999999999999,Sofa,Livingroom,None,None,
event10_drink_milk_while_watching_television3_scene2,drink,10.764,Milk,Livingroom,None,None,
event11_drink_milk_while_watching_television3_scene2,stand,9.177,None,None,None,None,
event12_drink_milk_while_watching_television3_scene2,walk,6.8999999999999995,Tv,Livingroom,None,None,
event13_drink_milk_while_watching_television3_scene2,find,3.036,Tvstand,Livingroom,None,None,
event14_drink_milk_while_watching_television3_scene2,put,0.0,Remotecontrol,Livingroom,None,None,
event15_drink_milk_while_watching_television3_scene2,switchOff,3.3119999999999994,Tv,Livingroom,None,None,
event0_clean_stove1_scene2,walk,8.004,Stove,Kitchen,None,None,
event1_clean_stove1_scene2,walk,6.554999999999999,Washingsponge,Kitchen,None,None,
event2_clean_stove1_scene2,grab,3.1049999999999995,Washingsponge,Kitchen,None,None,
event3_clean_stove1_scene2,walk,5.864999999999999,Stove,Kitchen,None,None,
event4_clean_stove1_scene2,turnTo,0.0,Stove,Kitchen,None,None,
event5_clean_stove1_scene2,wipe,18.698999999999998,Washingsponge,Kitchen,None,None,
event0_drink_juice1_scene2,walk,9.729000000000001,Kitchen,None,Bedroom,Kitchen,
event1_drink_juice1_scene2,walk,6.8999999999999995,Juice,Kitchen,None,None,
event2_drink_juice1_scene2,grab,3.1049999999999995,Juice,Kitchen,None,None,
event3_drink_juice1_scene2,walk,2.5529999999999995,Kitchentable,Kitchen,None,None,
event4_drink_juice1_scene2,put,3.036,Juice,Kitchen,None,None,
event5_drink_juice1_scene2,walk,2.898,Waterglass,Kitchen,None,None,
event6_drink_juice1_scene2,grab,3.1049999999999995,Waterglass,Kitchen,None,None,
event7_drink_juice1_scene2,walk,1.242,Kitchentable,Kitchen,None,None,
event8_drink_juice1_scene2,put,3.036,Waterglass,Kitchen,None,None,
event9_drink_juice1_scene2,walk,1.38,Juice,Kitchen,None,None,
event10_drink_juice1_scene2,grab,3.1049999999999995,Juice,Kitchen,None,None,
event11_drink_juice1_scene2,walk,0.0,Waterglass,Kitchen,None,None,
event12_drink_juice1_scene2,pour,15.938999999999998,Juice,Kitchen,None,None,
event13_drink_juice1_scene2,grab,3.1049999999999995,Waterglass,Kitchen,None,None,
event14_drink_juice1_scene2,drink,10.694999999999999,Waterglass,Kitchen,None,None,
event15_drink_juice1_scene2,put,6.486,Waterglass,Kitchen,None,None,
event16_drink_juice1_scene2,grab,3.1049999999999995,Waterglass,Kitchen,None,None,
event17_drink_juice1_scene2,drink,9.246,Waterglass,Kitchen,None,None,
event18_drink_juice1_scene2,put,8.831999999999999,Waterglass,Kitchen,None,None,
event19_drink_juice1_scene2,drink,10.004999999999999,Juice,Kitchen,None,None,
event0_turn_off_light5_scene2,walk,8.693999999999999,Lightswitch,Kitchen,None,None,
event1_turn_off_light5_scene2,switchOff,6.554999999999999,Lightswitch,Kitchen,None,None,
event2_turn_off_light5_scene2,walk,14.765999999999998,Livingroom,None,Kitchen,Livingroom,
event0_make_cold_cereal1_scene2,walk,10.419,Kitchen,None,Livingroom,Kitchen,
event1_make_cold_cereal1_scene2,walk,4.623,Dishbowl,Kitchen,None,None,
event2_make_cold_cereal1_scene2,grab,3.1049999999999995,Dishbowl,Kitchen,None,None,
event3_make_cold_cereal1_scene2,walk,8.072999999999999,Kitchentable,Kitchen,None,None,
event4_make_cold_cereal1_scene2,put,3.036,Dishbowl,Kitchen,None,None,
event5_make_cold_cereal1_scene2,walk,9.107999999999999,Cereal,Kitchen,None,None,
event6_make_cold_cereal1_scene2,grab,3.1049999999999995,Cereal,Kitchen,None,None,
event7_make_cold_cereal1_scene2,walk,8.28,Dishbowl,Kitchen,None,None,
event8_make_cold_cereal1_scene2,pour,15.663,Cereal,Kitchen,None,None,
event9_make_cold_cereal1_scene2,walk,4.002,Milk,Kitchen,None,None,
event10_make_cold_cereal1_scene2,grab,3.1049999999999995,Milk,Kitchen,None,None,
event11_make_cold_cereal1_scene2,walk,5.451,Dishbowl,Kitchen,None,None,
event12_make_cold_cereal1_scene2,pour,14.903999999999998,Milk,Kitchen,None,None,
event0_drink_juice1_scene2,walk,9.729000000000001,Kitchen,None,Bedroom,Kitchen,
event1_drink_juice1_scene2,walk,6.8999999999999995,Juice,Kitchen,None,None,
event2_drink_juice1_scene2,grab,3.1049999999999995,Juice,Kitchen,None,None,
event3_drink_juice1_scene2,walk,2.5529999999999995,Kitchentable,Kitchen,None,None,
event4_drink_juice1_scene2,put,3.036,Juice,Kitchen,None,None,
event5_drink_juice1_scene2,walk,2.898,Waterglass,Kitchen,None,None,
event6_drink_juice1_scene2,grab,3.1049999999999995,Waterglass,Kitchen,None,None,
event7_drink_juice1_scene2,walk,1.242,Kitchentable,Kitchen,None,None,
event8_drink_juice1_scene2,put,3.036,Waterglass,Kitchen,None,None,
event9_drink_juice1_scene2,walk,1.38,Juice,Kitchen,None,None,
event10_drink_juice1_scene2,grab,3.1049999999999995,Juice,Kitchen,None,None,
event11_drink_juice1_scene2,walk,0.0,Waterglass,Kitchen,None,None,
event12_drink_juice1_scene2,pour,15.938999999999998,Juice,Kitchen,None,None,
event13_drink_juice1_scene2,grab,3.1049999999999995,Waterglass,Kitchen,None,None,
event14_drink_juice1_scene2,drink,10.694999999999999,Waterglass,Kitchen,None,None,
event15_drink_juice1_scene2,put,6.486,Waterglass,Kitchen,None,None,
event16_drink_juice1_scene2,grab,3.1049999999999995,Waterglass,Kitchen,None,None,
event17_drink_juice1_scene2,drink,9.246,Waterglass,Kitchen,None,None,
event18_drink_juice1_scene2,put,8.831999999999999,Waterglass,Kitchen,None,None,
event19_drink_juice1_scene2,drink,10.004999999999999,Juice,Kitchen,None,None,
event0_fall_while_walking_forward1_scene2,walk,13.040999999999999,Kitchen,None,Livingroom,Kitchen,
event1_fall_while_walking_forward1_scene2,walk,4.2780000000000005,Fridge,Kitchen,None,None,
event2_fall_while_walking_forward1_scene2,open,3.3119999999999994,Fridge,Kitchen,None,None,
event3_fall_while_walking_forward1_scene2,close,3.3119999999999994,Fridge,Kitchen,None,None,
event4_fall_while_walking_forward1_scene2,walk,14.834999999999999,Livingroom,None,Kitchen,Livingroom,
event5_fall_while_walking_forward1_scene2,fall,8.625,None,None,None,None,
