scene,path,ChatGPT Response1,ChatGPT Response2,ChatGPT Response3,ChatGPT Response4,ChatGPT Response5,ChatGPT Answer,Correct Answer,answer==correct_answer,correct_answer in response
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_backward_while_walking_and_turning1.json,pet cat,relax on sofa while watching television,walk with memory loss,fall while sitting down,clean livingroom,pet cat,fall backward while walking and turning,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_in_bathroom1.json,use bathroom,sit,fall while sitting down or lowering,fall in bathroom,fall while standing and reaching,use bathroom,fall in bathroom,FALSE,TRUE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_while_during_getting_up_or_rising1.json,fall while standing and turning,fall while sitting down,fall while standing quietly,fall while preparing meal,fall while walking forward,fall while standing and turning,fall while during getting up or rising,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_while_during_getting_up_or_rising2.json,fall while sitting down,fall while standing and turning,fall while standing quietly,fall while walking forward,fall while getting up or rising,fall while sitting down,fall while during getting up or rising,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_while_initiation_of_walking2.json,relax on sofa,walk to tv,walk to kitchen,fall while preparing meal,fall while walking forward,relax on sofa,fall while initiation of walking,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_while_preparing_meal1.json,fall while preparing meal,fall while standing and turning,fall while walking forward,fall while standing quietly,fall sideways while walking forward,fall while preparing meal,fall while preparing meal,TRUE,TRUE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_while_preparing_meal2.json,drink milk,eat cupcake,relax on sofa,fall while standing and turning,fall while standing quietly,drink milk,fall while preparing meal,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_while_sitting_down1.json,fall while sitting down,fall while standing quietly,fall while walking forward,fall while standing and turning,fall backward while walking and turning,fall while sitting down,fall while sitting down,TRUE,TRUE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_while_sitting_down_or_lowering1.json,go to sleep,turn off light,relax on bed,fall while sitting down,walk with memory loss,go to sleep,fall while sitting down,FALSE,TRUE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_while_standing_and_reaching1.json,fall while standing and turning,fall while walking forward,fall while preparing meal,fall while standing quietly,get out of bed,fall while standing and turning,fall while standing and reaching,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_while_standing_and_turning1.json,fall while standing and turning,fall while preparing meal,fall while sitting down,fall while walking forward,walk with memory loss,fall while standing and turning,fall while standing and turning,TRUE,TRUE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_while_standing_at_somewhere_height1.json,fall while climbing at somewhere height,fall while standing and reaching,fall while standing quietly,fall while walking forward,clean livingroom,fall while climbing at somewhere height,fall while standing at somewhere height,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_while_standing_quietly1.json,fall while walking forward,fall while standing and turning,fall while standing quietly,fall while initiation of walking,fall sideways while walking forward,fall while walking forward,fall while standing quietly,FALSE,TRUE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Fall_while_walking_forward1.json,fall while standing quietly,fall while walking forward,fall while preparing meal,fall sideways while walking forward,errand at home,fall while standing quietly,fall while walking forward,FALSE,TRUE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Run_with_disorientation.json,use bathroom,run with disorientation,clean livingroom,clean kitchen,put away groceries from fridge,use bathroom,run with disorientation,FALSE,TRUE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Stand_on_coffee_table1.json,relax on sofa,set up table,drink wine,admire art,clean livingroom,relax on sofa,stand on coffee table,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Walk_with_memory_loss5.json,cook salmon,set up table,make cold cereal,clean fridge,put groceries in fridge,cook salmon,walk with memory loss,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Walk_with_memory_loss6.json,relax on sofa while watching television,watch television,drink alcohol while watching television,eat bread while watching television,social media checks,relax on sofa while watching television,walk with memory loss,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Walk_with_memory_loss7.json,go to sleep,relax on bed,take a break or napping,recovering from fatigue or illness,mindfulness or relaxation practice,go to sleep,walk with memory loss,FALSE,FALSE
scene1,QA/MultiChoice/Caption/Abnormal_scene1_movies_Walk_with_memory_loss8.json,use bathroom,use toilet,walk,target: towel,target: bathroom,use bathroom,walk with memory loss,FALSE,FALSE
scene1,QA/MultiChoice/Caption/BedTimeSleep_scene1_movies_Get_out_of_bed1.json,turn on light,use bathroom,prepare for brushing teeth,relax on bed,go to sleep,turn on light,get out of bed,FALSE,FALSE
scene1,QA/MultiChoice/Caption/BedTimeSleep_scene1_movies_Go_to_sleep1.json,turn off light,go to sleep,relax on bed,walk with memory loss,social media checks,turn off light,go to sleep,FALSE,TRUE
scene1,QA/MultiChoice/Caption/BedTimeSleep_scene1_movies_Read_bedtime_story1.json,turn on light,read book,relax on bed,go to sleep,use bathroom,turn on light,read bedtime story,FALSE,FALSE
